epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.566,1.83584,4.48782,1.7314,0.48498,0.37187,0.34405,0.1678,1.68536,2.65099,1.54524,3.38642e-05,3.31962e-05,3.31962e-05
2,622.579,1.62086,3.13326,1.47471,0.55529,0.49479,0.49907,0.25492,1.60091,2.03004,1.40529,6.52361e-05,6.49014e-05,6.49014e-05
3,922.081,1.5748,2.58337,1.43904,0.6267,0.53391,0.57661,0.31026,1.54291,1.83052,1.40206,9.03282e-05,9.03269e-05,9.03269e-05
4,1207.8,1.54356,2.18654,1.39556,0.65339,0.55952,0.61384,0.33033,1.51937,1.62708,1.37153,7.93895e-05,7.93895e-05,7.93895e-05
5,1510.01,1.50056,1.92683,1.37008,0.69301,0.56861,0.64102,0.35177,1.48752,1.50601,1.35016,6.54512e-05,6.54512e-05,6.54512e-05
6,1804.94,1.4722,1.75744,1.34648,0.72047,0.56555,0.65945,0.36792,1.47534,1.34689,1.32103,5.00005e-05,5.00005e-05,5.00005e-05
7,2113.41,1.43933,1.63553,1.32081,0.72654,0.60721,0.68273,0.38604,1.46469,1.26064,1.31992,3.45498e-05,3.45498e-05,3.45498e-05
8,2430.31,1.41109,1.55205,1.29845,0.72068,0.60967,0.69121,0.39351,1.44297,1.23711,1.30731,2.06115e-05,2.06115e-05,2.06115e-05
9,2724.46,1.39866,1.50469,1.29372,0.72048,0.6241,0.6995,0.4033,1.42567,1.20708,1.30225,9.55005e-06,9.55005e-06,9.55005e-06
10,3038.29,1.37975,1.47248,1.28449,0.73851,0.60824,0.70227,0.40445,1.42798,1.19749,1.29809,2.44815e-06,2.44815e-06,2.44815e-06
